epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,37.1646,1.21074,1.4645,1.32581,0.26093,0.35796,0.29692,0.15517,1.73704,2.58081,1.49257,0.000494885,0.000494885,0.000494885
43,38.0175,1.24973,1.52599,1.33201,0.48705,0.2572,0.28454,0.16086,1.8819,2.50897,1.60811,0.000486639,0.000486639,0.000486639
44,38.8547,1.12673,1.37267,1.26899,0.55946,0.26532,0.30183,0.17317,1.91203,2.50988,1.63281,0.000478392,0.000478392,0.000478392
45,39.7109,1.13449,1.39008,1.28101,0.70813,0.27129,0.34215,0.19793,1.88568,2.43626,1.61631,0.000470145,0.000470145,0.000470145
46,40.564,1.17085,1.45908,1.32412,0.50723,0.32478,0.35738,0.20562,1.79891,2.44658,1.54992,0.000461898,0.000461898,0.000461898
47,41.4191,1.13576,1.34527,1.24818,0.49073,0.34187,0.35501,0.22311,1.78658,2.49967,1.54671,0.000453652,0.000453652,0.000453652
48,42.2687,1.14333,1.35608,1.29954,0.71628,0.27753,0.33393,0.20894,1.75814,2.53117,1.54236,0.000445405,0.000445405,0.000445405
49,43.118,1.17875,1.37076,1.28066,0.80276,0.29132,0.35539,0.21442,1.79356,2.46723,1.56172,0.000437158,0.000437158,0.000437158
50,43.958,1.12941,1.27258,1.25967,0.67647,0.29315,0.36533,0.21834,1.75912,2.44016,1.54992,0.000428912,0.000428912,0.000428912
51,44.8099,1.13523,1.31522,1.25001,0.63305,0.30741,0.3468,0.21657,1.71942,2.41484,1.51763,0.000420665,0.000420665,0.000420665
52,45.6515,1.18776,1.4067,1.31314,0.45045,0.32738,0.35208,0.21034,1.69791,2.40319,1.52167,0.000412418,0.000412418,0.000412418
53,46.4907,1.14323,1.34312,1.26669,0.53938,0.36607,0.37623,0.19754,1.69311,2.34736,1.56599,0.000404172,0.000404172,0.000404172
54,47.3162,1.06751,1.28415,1.26734,0.50975,0.3779,0.37174,0.19277,1.66919,2.37513,1.56391,0.000395925,0.000395925,0.000395925
55,48.1754,1.09434,1.24385,1.23418,0.49729,0.37987,0.37511,0.20632,1.70809,2.38313,1.59505,0.000387678,0.000387678,0.000387678
56,49.0223,1.08156,1.25921,1.23349,0.50521,0.34005,0.38299,0.22326,1.67031,2.39441,1.58586,0.000379431,0.000379431,0.000379431
57,49.8697,1.08689,1.29413,1.25531,0.85364,0.2072,0.39001,0.23678,1.63403,2.37537,1.57675,0.000371185,0.000371185,0.000371185
58,50.7447,1.04181,1.19507,1.19955,0.49714,0.32738,0.41375,0.24768,1.60536,2.35597,1.54463,0.000362938,0.000362938,0.000362938
59,51.5809,1.08618,1.25778,1.28441,0.48852,0.31176,0.39654,0.23985,1.64161,2.34964,1.53947,0.000354691,0.000354691,0.000354691
60,52.4062,1.05249,1.2028,1.23387,0.80733,0.21182,0.39838,0.22446,1.72207,2.37256,1.58999,0.000346445,0.000346445,0.000346445
61,53.2427,1.06901,1.18505,1.22719,0.38484,0.31048,0.36426,0.20271,1.79998,2.32039,1.66872,0.000338198,0.000338198,0.000338198
62,54.08,1.10356,1.29825,1.28425,0.40623,0.32735,0.34093,0.18121,1.84029,2.31542,1.73909,0.000329951,0.000329951,0.000329951
63,54.9141,1.07068,1.22103,1.22633,0.40754,0.33191,0.35424,0.19487,1.81647,2.32174,1.70868,0.000321705,0.000321705,0.000321705
64,55.7478,1.10105,1.28308,1.26083,0.39553,0.31651,0.35425,0.19986,1.79709,2.33871,1.68003,0.000313458,0.000313458,0.000313458
65,56.5957,1.02355,1.20118,1.20187,0.39566,0.33381,0.3226,0.18833,1.76662,2.34973,1.63722,0.000305211,0.000305211,0.000305211
66,57.4439,1.04448,1.20543,1.22709,0.39861,0.35045,0.34962,0.2102,1.72127,2.2881,1.58582,0.000296964,0.000296964,0.000296964
67,58.2856,1.02577,1.17545,1.22228,0.44329,0.35045,0.36213,0.2202,1.67622,2.2961,1.55294,0.000288718,0.000288718,0.000288718
68,59.1395,1.03254,1.19635,1.2204,0.48082,0.35045,0.37276,0.22523,1.66561,2.33432,1.55209,0.000280471,0.000280471,0.000280471
69,59.982,0.993,1.11769,1.17385,0.48582,0.35045,0.36608,0.21897,1.66045,2.3663,1.57516,0.000272224,0.000272224,0.000272224
70,60.8407,1.00568,1.14146,1.17708,0.49127,0.31696,0.3564,0.21452,1.67594,2.3309,1.59702,0.000263978,0.000263978,0.000263978
71,61.6918,1.02602,1.18436,1.20688,0.49707,0.32131,0.36381,0.21943,1.64708,2.34074,1.59274,0.000255731,0.000255731,0.000255731
72,62.5359,1.03755,1.13648,1.20828,0.48292,0.31696,0.3733,0.22756,1.63464,2.34411,1.59558,0.000247484,0.000247484,0.000247484
73,63.3877,1.01834,1.12875,1.19346,0.46629,0.36792,0.38164,0.22758,1.6517,2.33336,1.60771,0.000239238,0.000239238,0.000239238
74,64.2388,1.04397,1.18066,1.18852,0.5163,0.38336,0.37385,0.2362,1.64878,2.34086,1.59576,0.000230991,0.000230991,0.000230991
75,65.097,0.97139,1.11571,1.16883,0.51103,0.38668,0.3819,0.23705,1.63666,2.32395,1.60258,0.000222744,0.000222744,0.000222744
76,65.9632,0.95843,1.0774,1.14683,0.50812,0.36607,0.38177,0.24198,1.68607,2.32503,1.62838,0.000214497,0.000214497,0.000214497
77,66.8168,1.01213,1.14741,1.20177,0.43417,0.3734,0.35353,0.21956,1.68675,2.3436,1.61864,0.000206251,0.000206251,0.000206251
78,67.6617,0.94589,1.07951,1.16361,0.58302,0.30878,0.35383,0.21246,1.70775,2.35289,1.62997,0.000198004,0.000198004,0.000198004
