iter	Passed	Remaining
398	386816	97916
399	387806	96951
400	388778	95982
401	389765	95017
402	390741	94049
403	391705	93078
404	392671	92108
405	393691	91150
406	394624	90172
407	395622	89209
408	396667	88256
409	397617	87281
410	398556	86305
411	399489	85327
412	400430	84352
413	401397	83382
414	402374	82414
415	403403	81456
