iter	RMSE
277	0.08961794869
278	0.08952596895
279	0.08949822242
280	0.08937831511
281	0.08922369106
282	0.08915306333
283	0.08913183474
284	0.08908118107
285	0.08906308512
286	0.08897414287
287	0.08885551249
288	0.08876242059
289	0.08868097826
290	0.08856335803
291	0.08844979615
292	0.088342832
293	0.08822386844
294	0.08808633058
295	0.08793373419
296	0.08784965058
297	0.08777853291
298	0.08770324127
299	0.08767505439
300	0.08757391095
301	0.08755959868
302	0.08754597661
303	0.08742231898
304	0.08733037228
305	0.08725595629
306	0.08716701002
307	0.08707509677
308	0.08697899791
309	0.08690924116
310	0.08685180597
311	0.08676539884
312	0.08670081655
313	0.08655886162
314	0.0864469784
315	0.08636830428
316	0.0862903058
317	0.08620831347
318	0.08613764376
319	0.08612436845
320	0.08606103145
321	0.08595314675
322	0.08589982785
323	0.08581405716
324	0.08577822105
325	0.08568715361
326	0.08560305516
327	0.08552601985
328	0.08542221729
329	0.08532006151
330	0.08526032653
331	0.08516020139
332	0.08510160524
333	0.08498152836
334	0.08491194479
335	0.08481099903
336	0.08470146408
337	0.08461570519
338	0.08460485734
339	0.08450946586
340	0.08442526496
341	0.08434890639
342	0.08421003134
343	0.08413350658
344	0.08408962373
345	0.0840374698
346	0.08392450527
347	0.08384230502
348	0.08383105655
349	0.08372226965
350	0.08362739508
351	0.08354787835
352	0.08346274391
353	0.08340091648
354	0.0833175925
355	0.08327526158
356	0.08322661529
357	0.08318959324
358	0.08308830654
359	0.08301798606
360	0.08293730254
361	0.08284708329
362	0.0827764054
363	0.08272414912
364	0.08268738953
365	0.08262289729
366	0.08255859925
367	0.08253183253
368	0.08248291168
369	0.08247255387
370	0.08237655552
371	0.08229760955
372	0.08223880322
373	0.08217132074
374	0.08208905077
375	0.08200863087
376	0.08189876443
377	0.08178206113
378	0.08170045979
379	0.08159236971
380	0.08149817693
381	0.08143041792
382	0.08138715213
383	0.08129811324
384	0.08122800555
385	0.08120949386
386	0.0811339248
387	0.08105948507
388	0.08095346854
389	0.08087305614
390	0.08077293835
391	0.08068866119
392	0.08062068067
393	0.08057997592
394	0.08051901573
395	0.08042104753
396	0.08031237471
397	0.08024419248
398	0.08022322495
399	0.08017028435
400	0.08010455188
401	0.07999805761
402	0.07994009214
403	0.07988797441
404	0.07982220289
405	0.0797248959
406	0.07962464778
407	0.07953282504
408	0.07942403486
409	0.07939494541
410	0.07931909278
411	0.07927582278
412	0.07922257239
413	0.07915118991
414	0.07908043545
415	0.07903316138
