iter	RMSE
0	0.1646078787
1	0.1623400506
2	0.1599894922
3	0.1578437166
4	0.1557056107
5	0.15386133
6	0.152075306
7	0.1504268954
8	0.1491655582
9	0.147510231
10	0.1460478915
11	0.1447699645
12	0.1436300024
13	0.1424887442
14	0.1413434534
15	0.1402674981
16	0.1393513353
17	0.13811054
18	0.1371303344
19	0.1363047009
20	0.1356033259
21	0.1349196707
22	0.1341342886
23	0.1334457091
24	0.1327100006
25	0.1320778299
26	0.1314712669
27	0.1308313015
28	0.1303881355
29	0.1297763514
30	0.1291910059
31	0.1287650074
32	0.1282325243
33	0.1277260403
34	0.1272451459
35	0.1268704347
36	0.126420903
37	0.1261090793
38	0.1257341221
39	0.1253140171
40	0.1247395184
41	0.1242329029
42	0.1238849314
43	0.1235193874
44	0.1230639578
45	0.1225684016
46	0.122257519
47	0.1219905838
48	0.1217195624
49	0.1214835222
50	0.1212324915
51	0.1209705806
52	0.1205564896
53	0.1202745441
54	0.1199646003
55	0.1196994042
56	0.1194017302
57	0.1191545653
58	0.1189327345
59	0.1187053782
60	0.1184404038
61	0.1182418468
62	0.1180537552
63	0.1177499182
64	0.1173610683
65	0.117234475
66	0.1168614824
67	0.1166766015
68	0.1164944686
69	0.1161966362
70	0.1160439159
71	0.1158535048
72	0.115653075
73	0.115288771
74	0.1150300233
75	0.1148576772
76	0.1147006249
77	0.1145256545
78	0.1142391286
79	0.114063759
80	0.1138819621
81	0.1137195525
82	0.1135884705
83	0.1134475595
84	0.1132586258
85	0.1129971081
86	0.112705695
87	0.1125751392
88	0.1123899156
89	0.1122292472
90	0.1120275407
91	0.1118671958
92	0.1116856175
93	0.1115141374
94	0.1113074665
95	0.1111700429
96	0.1109647943
97	0.1108170518
98	0.1106989191
99	0.110604749
100	0.1105187109
101	0.110293367
102	0.1102070592
103	0.109995138
104	0.1098866396
105	0.1097711078
106	0.1096171456
107	0.1095303901
108	0.1092529208
109	0.1091564931
110	0.1090190672
111	0.1089166885
112	0.1088420501
113	0.1085100917
114	0.108406279
115	0.1083369961
116	0.1082663643
117	0.1080361241
118	0.107943137
119	0.1078608727
120	0.1077405344
121	0.1076258194
122	0.1075315882
123	0.107358002
124	0.1071999773
125	0.1070239385
126	0.1069200796
127	0.1068187053
128	0.1067148669
129	0.1066095859
130	0.1064780674
131	0.106380943
132	0.106313824
133	0.1062282702
134	0.1059206722
135	0.1057954576
136	0.105712725
137	0.1055007763
138	0.1052892091
139	0.1051776676
140	0.1051296041
141	0.1050100959
142	0.1049462822
143	0.1048908338
144	0.1047366935
145	0.1046573618
146	0.1045723595
147	0.1044708564
148	0.1043840652
149	0.1041975528
150	0.1041197828
151	0.104038609
152	0.1039225389
153	0.1038167237
154	0.1037367021
155	0.1036605705
156	0.1035413823
157	0.1034840626
158	0.1034073848
159	0.1033187081
160	0.1031740748
161	0.1031080323
162	0.1030209316
163	0.1029244753
164	0.1028863527
165	0.1027592901
166	0.1026996871
167	0.1026348926
168	0.1024564296
169	0.1024220576
170	0.1023648638
171	0.1021841687
172	0.1020665266
173	0.1019206022
174	0.101850706
175	0.101565333
176	0.1014954317
177	0.1014345366
178	0.1012470906
179	0.1012066981
180	0.1009640289
181	0.1008878816
182	0.1006668684
183	0.1004911023
184	0.1003580517
185	0.1003415198
186	0.1001286846
187	0.09993994613
188	0.09983825254
189	0.09968589422
190	0.09959574328
191	0.09940198877
192	0.09937759373
193	0.09927953824
194	0.09917162416
195	0.09910764175
196	0.09899571062
197	0.09885220341
198	0.09876197977
199	0.09870309789
200	0.09868085122
201	0.09862816935
202	0.09844006886
203	0.09831190374
204	0.09817416174
205	0.09801732548
206	0.09791068865
207	0.0978048482
208	0.09764581625
209	0.09753000771
210	0.09749661974
211	0.09733802638
212	0.09710519701
213	0.09690730368
214	0.09680045205
215	0.09663736113
216	0.09650805199
217	0.09632133152
218	0.09616197329
219	0.09605647931
220	0.09590922496
221	0.09578372064
222	0.09561362294
223	0.09548380543
224	0.09537301478
225	0.09526467895
226	0.09519270341
227	0.09509727542
228	0.09497958398
229	0.09491573002
230	0.09481491899
231	0.09467780029
232	0.09453646722
233	0.09439653527
234	0.09428572261
235	0.09412905575
236	0.09398823575
237	0.09384460469
238	0.09369904054
239	0.09353953335
240	0.09349971101
241	0.09344903582
242	0.09330977363
243	0.09312120712
244	0.09309262874
245	0.09306072709
246	0.09294425989
247	0.09282588112
248	0.09271086528
249	0.09258318548
250	0.0924641741
251	0.09234716459
252	0.09218596048
253	0.09207287523
254	0.09197641436
255	0.09182957962
256	0.09169482871
257	0.09155935198
258	0.0914898557
259	0.09140371879
260	0.09129632801
261	0.09118102155
262	0.09107344932
263	0.09094976357
264	0.09092516942
265	0.0908059097
266	0.09069261703
267	0.09061622967
268	0.09053716662
269	0.09051359855
270	0.09037778376
271	0.09031376309
272	0.09023037718
273	0.0901383203
274	0.09001347479
275	0.08987802176
276	0.08974133515
