epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,505.802,1.19421,1.58856,1.30781,0.26405,0.48948,0.38785,0.17975,1.72114,2.56812,1.55582,0.000396265,0.000396265,0.000396265
43,516.68,1.19353,1.61453,1.33103,0.24261,0.5131,0.38152,0.20642,1.70043,2.50668,1.53322,0.000389661,0.000389661,0.000389661
44,527.485,1.19293,1.61942,1.33492,0.25787,0.5131,0.41387,0.22451,1.73771,2.48227,1.54533,0.000383058,0.000383058,0.000383058
45,538.234,1.21198,1.57008,1.34592,0.25416,0.42619,0.37434,0.21253,1.81492,2.50093,1.55223,0.000376455,0.000376455,0.000376455
46,548.973,1.28068,1.61921,1.32508,0.2746,0.42619,0.37085,0.22027,1.77262,2.47571,1.5352,0.000369851,0.000369851,0.000369851
47,559.534,1.14973,1.49277,1.28342,0.30874,0.46548,0.3948,0.23134,1.62779,2.42598,1.4931,0.000363248,0.000363248,0.000363248
48,570.365,1.15389,1.51308,1.30071,0.42205,0.43711,0.3824,0.22432,1.65359,2.42508,1.52361,0.000356645,0.000356645,0.000356645
49,581.212,1.15716,1.50055,1.28666,0.40533,0.39717,0.35816,0.20483,1.72625,2.51847,1.54419,0.000350042,0.000350042,0.000350042
50,592.033,1.14457,1.47287,1.27883,0.37928,0.39244,0.36295,0.21188,1.73478,2.53781,1.56125,0.000343438,0.000343438,0.000343438
51,603.411,1.22527,1.57722,1.31524,0.42101,0.41438,0.37575,0.23069,1.7135,2.52652,1.5748,0.000336835,0.000336835,0.000336835
52,614.333,1.17403,1.46782,1.31505,0.54015,0.39398,0.36215,0.22416,1.67263,2.52985,1.5628,0.000330232,0.000330232,0.000330232
53,624.544,1.09815,1.38923,1.24419,0.55075,0.3619,0.33486,0.20061,1.69382,2.59957,1.58833,0.000323628,0.000323628,0.000323628
54,634.705,1.17522,1.43745,1.28943,0.51583,0.35282,0.33894,0.20562,1.72143,2.66738,1.57266,0.000317025,0.000317025,0.000317025
